code,name,color,category_id
SM-G996BZSDXID,GALAXY S21+ 8/128GB,SILVER,1
SM-G996BZVDXID,GALAXY S21+ 8/128GB,VIOLET,1
SM-G996BZKGXID,GALAXY S21+ 8/256GB,BLACK,1
SM-G996BZSGXID,GALAXY S21+ 8/256GB,SILVER,1
SM-G996BZVGXID,GALAXY S21+ 8/256GB,VIOLET,1
SM-G998BZKDXID,GALAXY S21 ULTRA 12/128GB,BLACK,1
SM-G998BZSDXID,GALAXY S21 ULTRA 12/128GB,SILVER,1
SM-G998BZKGXID,GALAXY S21 ULTRA 12/256GB,BLACK,1
SM-G998BZSGXID,GALAXY S21 ULTRA 12/256GB,SILVER,1
SM-G998BZKHXID,GALAXY S21 ULTRA 16/512GB,BLACK,1
SM-G998BZSHXID,GALAXY S21 ULTRA 16/512GB,SILVER,1
SM-F700FZKDXID,GALAXY Z FLIP,BLACK,1
SM-F700FZPDXID,GALAXY Z FLIP,PURPLE,1
SM-F700FZDDXID,GALAXY Z FLIP,GOLD,1
SM-F916BZKQXID,GALAXY Z FOLD 2,BLACK,1
SM-F916BZNQXID,GALAXY Z FOLD 2,BROWN,1
SM-F711BLVAXID,GALAXY Z FLIP 3 8/128GB,LAVENDER,1
SM-F711BLVKXID,GALAXY Z FLIP 3 8/128GB,LAVENDER,1
SM-F711BZEAXID,GALAXY Z FLIP 3 8/128GB,CREAM,1
SM-F711BZGAXID,GALAXY Z FLIP 3 8/128GB,GREEN,1
SM-F711BZGKXID,GALAXY Z FLIP 3 8/128GB,GREEN,1
SM-F711BZKAXID,GALAXY Z FLIP 3 8/128GB,BLACK,1
SM-F711BZKKXID,GALAXY Z FLIP 3 8/128GB,BLACK,1
SM-F711BZEKXID,GALAXY Z FLIP 3 8/128GB,CREAM,1
SM-F711BLVEXID,GALAXY Z FLIP 3 8/256GB,LAVENDER,1
SM-F711BLVLXID,GALAXY Z FLIP 3 8/256GB,LAVENDER,1
SM-F711BZEEXID,GALAXY Z FLIP 3 8/256GB,CREAM,1
SM-F711BZGEXID,GALAXY Z FLIP 3 8/256GB,GREEN,1
SM-F711BZKEXID,GALAXY Z FLIP 3 8/256GB,BLACK,1
SM-F711BZUYXID,GALAXY Z FLIP 3 8/256GB,PLATINUM,1
SM-F711BZKLXID,GALAXY Z FLIP 3 8/256GB,BLACK,1
SM-F711BZELXID,GALAXY Z FLIP 3 8/256GB,CREAM,1
SM-F711BZGLXID,GALAXY Z FLIP 3 8/256GB,GREEN,1
SM-F711BZKBXID,SAMSUNG F711 8/128GB - Z FILP3 5G BLACK,,1
SM-F711BZEBXID,SAMSUNG F711 8/128GB - Z FILP3 5G BEIGE,,1
SM-F711BZGBXID,SAMSUNG F711 8/128GB - Z FILP3 5G GREEN,,1
SM-F711BLVBXID,SAMSUNG F711 8/128GB - Z FILP3 5G VIOLET,,1
SM-F711BZKFXID,SAMSUNG F711 8/256GB - Z FLIP3 5G BLACK,,1
SM-F711BZEFXID,SAMSUNG F711 8/256GB - Z PLIP3 5G BEIGE,,1
SM-F711BZGFXID,SAMSUNG F711 8/256GB - Z FLIP3 5G GREEN,,1
SM-F711BLVFXID,SAMSUNG F711 8/256GB - Z FLIP3 5G VIOLET,,1
SM-F926BZGDXID,GALAXY Z FOLD 3 12/256GB,GREEN,1
SM-F926BZKDXID,GALAXY Z FOLD 3 12/256GB,BLACK,1
SM-F926BZKMXID,GALAXY Z FOLD 3 12/256GB,BLACK,1
SM-F926BZSDXID,GALAXY Z FOLD 3 12/256GB,SILVER,1
SM-F926BZGMXID,GALAXY Z FOLD 3 12/256GB,GREEN,1
SM-F926BZSMXID,GALAXY Z FOLD 3 12/256GB,SILVER,1
SM-F926BZGGXID,GALAXY Z FOLD 3 12/512GB,GREEN,1
SM-F926BZGNXID,GALAXY Z FOLD 3 12/512GB,GREEN,1
SM-F926BZKGXID,GALAXY Z FOLD 3 12/512GB,BLACK,1
SM-F926BZSGXID,GALAXY Z FOLD 3 12/512GB,SILVER,1
SM-F926BZSNXID,GALAXY Z FOLD 3 12/512GB,SILVER,1
SM-F926BZUZXID,GALAXY Z FOLD 3 12/512GB,PLATINUM,1
SM-F926BZKNXID,GALAXY Z FOLD 3 12/512GB,BLACK,1
SM-N980FZAGXID,GALAXY NOTE 20  8/256GB,GRAY,1
SM-N980FZGGXID,GALAXY NOTE 20  8/256GB,GREEN,1
SM-N980FZNGXID,GALAXY NOTE 20  8/256GB,BROWN,1
SM-N985FZKGXID,GALAXY NOTE 20  ULTRA 8/256GB,BLACK,1
SM-N985FZNGXID,GALAXY NOTE 20  ULTRA 8/256GB,BROWN,1
SM-N985FZWGXID,GALAXY NOTE 20  ULTRA 8/256GB,WHITE,1
SM-N985FZKHXID,GALAXY NOTE 20 ULTRA 8/512GB,BLACK,1
SM-N985FZNHXID,GALAXY NOTE 20 ULTRA 8/512GB,BROWN,1
SM-N986BZKGXID,GALAXY NOTE 20 ULTRA 12/256 5G,BLACK,1
